"BehaviorSpace results (NetLogo 6.3.0)"
"Version-1.nlogo"
"experiment-2"
"03/27/2023 18:16:42:613 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-13","13","-13","13"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"Rate-of-connection","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"add-people","2","2","2","2","2","2","2","2","2","2","2"
"num-teams","5","5","5","5","5","5","5","5","5","5","5"
"num-people","10","10","10","10","10","10","10","10","10","10","10"
"[reporter]","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)"
"[final]","0.044444444444444446","5.315555555555555","11.026666666666667","14.337777777777777","20.915555555555557","26.27111111111111","26.115555555555556","30.622222222222224","36.41777777777778","30.54222222222222","31.102222222222224"
"[min]","0.044444444444444446","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"[max]","0.4","5.315555555555555","11.026666666666667","14.337777777777777","20.915555555555557","26.27111111111111","26.115555555555556","30.622222222222224","36.433035714285715","30.5625","31.102222222222224"
"[mean]","0.11042678932773069","2.9812100984643286","6.099969979322855","7.64465229124735","10.589772443193532","13.504356548681177","13.912918429142815","15.99998100683817","19.23954973544769","16.60804607018313","16.890774287972416"
"[steps]","200","200","200","200","200","200","200","200","200","200","200"

"[all run data]","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)"
,"0.1111111111111111","2.2222222222222223","4.444444444444445","5.388888888888889","7.3","8.644444444444444","10.188888888888888","10.411111111111111","12.28888888888889","11.9","11.4"
,"0.10989010989010989","2.2637362637362637","4.538461538461538","5.417582417582418","7.483516483516484","8.659340659340659","10.373626373626374","10.604395604395604","12.43956043956044","12.23076923076923","11.67032967032967"
,"0.10869565217391304","2.2717391304347827","4.630434782608695","5.478260869565218","7.663043478260869","8.684782608695652","10.48913043478261","10.630434782608695","12.630434782608695","12.141304347826088","11.66304347826087"
,"0.10752688172043011","2.3118279569892475","4.720430107526882","5.548387096774194","7.709677419354839","8.75268817204301","10.559139784946236","10.817204301075268","13.086021505376344","12.365591397849462","11.913978494623656"
,"0.10638297872340426","2.3085106382978724","4.808510638297872","5.627659574468085","7.882978723404255","8.74468085106383","10.659574468085106","11.202127659574469","12.98936170212766","12.574468085106384","12.074468085106384"
,"0.10526315789473684","2.336842105263158","4.842105263157895","5.684210526315789","7.926315789473684","8.968421052631578","10.757894736842106","11.578947368421053","13.463157894736842","12.68421052631579","12.421052631578947"
,"0.10416666666666667","2.34375","4.927083333333333","5.75","8.114583333333334","9.1875","10.9375","11.604166666666666","13.364583333333334","12.90625","12.489583333333334"
,"0.10309278350515463","2.381443298969072","5","5.783505154639175","8.154639175257731","9.371134020618557","10.855670103092784","11.649484536082474","13.855670103092784","13.1340206185567","12.783505154639176"
,"0.10204081632653061","2.377551020408163","5.071428571428571","5.86734693877551","8.23469387755102","9.39795918367347","10.948979591836734","12.010204081632653","14.357142857142858","13.39795918367347","13.112244897959183"
,"0.10101010101010101","2.404040404040404","5.161616161616162","5.929292929292929","8.282828282828282","9.626262626262626","11.02020202020202","12.070707070707071","14.858585858585858","13.686868686868687","13.1010101010101"
,"0.1","2.44","5.23","6.01","8.32","9.81","10.97","12.18","15.35","13.74","13.3"
,"0.09900990099009901","2.4752475247524752","5.257425742574258","6.069306930693069","8.356435643564357","10.029702970297029","11.089108910891088","12.287128712871286","15.425742574257425","13.92079207920792","13.633663366336634"
,"0.09803921568627451","2.5098039215686274","5.284313725490196","6.127450980392157","8.392156862745098","10.22549019607843","11.205882352941176","12.401960784313726","15.607843137254902","13.784313725490197","13.529411764705882"
,"0.0970873786407767","2.5436893203883497","5.271844660194175","6.155339805825243","8.446601941747574","10.436893203883495","11.330097087378642","12.776699029126213","15.766990291262136","13.922330097087379","13.398058252427184"
,"0.09615384615384616","2.576923076923077","5.3076923076923075","6.240384615384615","8.490384615384615","10.490384615384615","11.490384615384615","13.14423076923077","15.89423076923077","14.163461538461538","13.798076923076923"
