who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,team-number,manager?,visited?
336,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
337,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
338,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
339,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
340,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
341,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
342,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
343,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
344,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
345,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
346,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
347,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
348,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
349,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
350,118,270,-1,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,1,TRUE
351,118,270,-1,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,1,TRUE
352,118,270,-1,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,1,TRUE
353,118,270,-1,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,1,TRUE
354,118,270,-1,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,1,TRUE
355,26,274,-0.14756405,0.919756474,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
356,26,274,-0.14756405,0.919756474,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
357,26,274,-0.14756405,0.919756474,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
358,26,274,-0.14756405,0.919756474,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
359,26,274,-0.14756405,0.919756474,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
360,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
361,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
362,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
363,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
364,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
